,Mersin,Kütahya,Kocaeli,Eskişehir,İstanbul,Bilecik,Balıkesir,Şanlıurfa,Tekirdağ,Sivas,Yalova,Manisa,Isparta,Mardin,Erzincan,Zonguldak,Karaman,Denizli
Mersin,0.0,500.06488291932857,610.187556275666,488.15358758922156,676.7615147399168,550.257088307765,669.1084757999997,371.9630219675036,771.4187425486234,388.2455394387847,632.2230674866042,665.0388034629632,376.2579768111302,543.4940629115652,536.5862822744162,572.5068796470733,131.5684491729052,502.4994133196503
Kütahya,500.06488291932857,0.0,159.97684495661744,61.00614396526886,196.46120528708914,81.60670865952515,181.98564895564033,808.7432668780235,272.40893637780914,603.8257905212796,150.09420304926527,237.82490710522907,190.3197614718414,964.3141558571073,816.017159519979,273.9299907673782,377.1717003545612,198.33652624725866
Kocaeli,610.187556275666,159.97684495661744,0.0,131.40391954629067,77.79782401660287,78.5721007286111,216.15588995996336,872.4088168825871,199.62098687663948,617.3675092720346,56.50654991095236,325.08471633920664,348.2990691742357,1013.9915856247266,824.4136258870154,173.95326655701652,500.7401313444499,348.89046185337844
Eskişehir,488.15358758922156,61.00614396526886,131.40391954629067,0.0,189.22808028649783,62.108934272959715,226.09089779299342,776.7156085737436,287.7553760348925,555.251843145881,144.1017415713992,295.8611919101291,223.7348354492928,927.7928482634169,767.195853725195,215.68425427460045,373.0641016674224,254.79255510199138
İstanbul,676.7615147399168,196.46120528708914,77.79782401660287,189.22808028649783,0.0,127.42417285550584,177.45282932522397,948.6126454119476,123.15889502423845,695.0029237418738,46.634886954476116,296.78322682311943,385.2904883756408,1091.3678144947432,901.5751868146401,241.03930222940988,562.1070013449173,359.4683751558243
Bilecik,550.257088307765,81.60670865952515,78.5721007286111,62.108934272959715,127.42417285550584,0.0,187.3608704244132,834.3123769138318,227.8452615007705,601.5156671550016,81.99830063063833,277.539726935901,269.9438337413688,982.9064793313895,812.4055797469284,211.02675412731028,434.6838626379659,275.03715941703956
Balıkesir,669.1084757999997,181.98564895564033,216.15588995996336,226.09089779299342,177.45282932522397,187.3608704244132,0.0,989.772733863574,151.16634501682893,781.3168887778362,161.9928688498503,120.95731464462517,312.5491105406186,1146.2252781663872,993.2863669965263,387.0901281075277,540.7343546368413,232.87537609876398
Şanlıurfa,371.9630219675036,808.7432668780235,872.4088168825871,776.7156085737436,948.6126454119476,834.3123769138318,989.772733863574,0.0,1061.7346748971463,326.8588073153769,910.7678221664639,1010.0380679487732,730.1750114885576,171.5831109508129,294.5253458523418,768.2255434216477,493.32083570788245,859.3541126007776
Tekirdağ,771.4187425486234,272.40893637780914,199.62098687663948,287.7553760348925,123.15889502423845,227.8452615007705,151.16634501682893,1061.7346748971463,0.0,816.5440602403181,152.14668802511184,262.40369130380356,442.8541703639476,1208.268846896197,1024.0240433824458,362.47606287391267,649.580553863476,380.8493517008223
Sivas,388.2455394387847,603.8257905212796,617.3675092720346,555.251843145881,695.0029237418738,601.5156671550016,781.3168887778362,326.8588073153769,816.5440602403181,0.0,665.6959418377361,835.5309464451386,601.9093907690094,420.33735645211607,212.19489457553027,479.73952617001976,436.5290917006185,721.4823051764326
Yalova,632.2230674866042,150.09420304926527,56.50654991095236,144.1017415713992,46.634886954476116,81.99830063063833,161.9928688498503,910.7678221664639,152.14668802511184,665.6959418377361,0.0,275.2391843109583,339.51292732174517,1056.235993387911,874.3525060484685,230.45977798294078,516.3463454012098,319.89574488155466
Manisa,665.0388034629632,237.82490710522907,325.08471633920664,295.8611919101291,296.78322682311943,277.539726935901,120.95731464462517,1010.0380679487732,262.40369130380356,835.5309464451386,275.2391843109583,0.0,289.3561236652083,1173.317874067334,1047.1515308413082,487.6629224240901,533.492379271147,172.49919093551733
Isparta,376.2579768111302,190.3197614718414,348.2990691742357,223.7348354492928,385.2904883756408,269.9438337413688,312.5491105406186,730.1750114885576,442.8541703639476,601.9093907690094,339.51292732174517,289.3561236652083,0.0,897.3763442222806,805.8833283209444,424.03921080385254,244.73038793403626,129.2301059352373
Mardin,543.4940629115652,964.3141558571073,1013.9915856247266,927.7928482634169,1091.3678144947432,982.9064793313895,1146.2252781663872,171.5831109508129,1208.268846896197,420.33735645211607,1056.235993387911,1173.317874067334,897.3763442222806,0.0,290.3038483508842,893.6237942638193,663.4991381243863,1026.5896063786086
Erzincan,536.5862822744162,816.017159519979,824.4136258870154,767.195853725195,901.5751868146401,812.4055797469284,993.2863669965263,294.5253458523418,1024.0240433824458,212.19489457553027,874.3525060484685,1047.1515308413082,805.8833283209444,290.3038483508842,0.0,677.0156541587645,616.2836420294437,928.574478808639
Zonguldak,572.5068796470733,273.9299907673782,173.95326655701652,215.68425427460045,241.03930222940988,211.02675412731028,387.0901281075277,768.2255434216477,362.47606287391267,479.73952617001976,230.45977798294078,487.6629224240901,424.03921080385254,893.6237942638193,677.0156541587645,0.0,491.58872224471236,470.4767449074569
Karaman,131.5684491729052,377.1717003545612,500.7401313444499,373.0641016674224,562.1070013449173,434.6838626379659,540.7343546368413,493.32083570788245,649.580553863476,436.5290917006185,516.3463454012098,533.492379271147,244.73038793403626,663.4991381243863,616.2836420294437,491.58872224471236,0.0,371.5542337971716
Denizli,502.4994133196503,198.33652624725866,348.89046185337844,254.79255510199138,359.4683751558243,275.03715941703956,232.87537609876398,859.3541126007776,380.8493517008223,721.4823051764326,319.89574488155466,172.49919093551733,129.2301059352373,1026.5896063786086,928.574478808639,470.4767449074569,371.5542337971716,0.0
